,cnt,t_real,t_feels_like,humidity,wind_speed,is_weekend,season
201,723,12.0,12.0,67.0,33.0,0,3
202,654,12.0,12.0,74.5,39.0,0,3
203,700,12.0,12.0,79.5,29.5,0,3
204,631,12.0,12.0,79.5,29.5,0,3
205,520,12.5,12.5,77.0,33.0,0,3
206,374,12.0,12.0,82.0,25.0,0,3
207,669,12.0,12.0,82.0,22.5,0,3
208,1510,11.5,11.5,88.0,22.0,0,3
209,1186,11.0,11.0,94.0,22.0,0,3
210,1136,11.5,11.5,85.0,22.0,0,3
211,753,12.0,12.0,82.0,20.0,0,3
212,510,12.0,12.0,85.0,18.5,0,3
213,184,12.0,12.0,88.0,21.0,0,3
214,86,12.0,12.0,88.0,23.0,0,3
215,64,12.0,12.0,88.0,25.0,0,3
216,29,12.0,12.0,72.0,30.0,0,3
217,21,11.5,11.5,88.0,24.5,0,3
218,13,11.0,11.0,85.0,19.0,0,3
219,33,11.0,11.0,82.0,21.0,0,3
220,113,10.5,9.0,79.5,21.0,0,3
221,600,10.0,7.5,82.0,20.5,0,3
222,1584,9.5,6.5,79.0,21.0,0,3
223,3960,9.0,6.5,71.0,16.0,0,3
224,2090,9.0,6.0,71.0,18.0,0,3
225,960,9.0,6.5,71.0,17.5,0,3
226,866,9.0,6.0,68.5,18.0,0,3
227,1019,9.5,6.5,64.0,20.5,0,3
228,719,9.0,5.5,72.0,27.5,0,3
229,811,8.5,4.5,71.0,29.0,0,3
230,883,8.0,4.5,72.0,21.5,0,3
231,1391,7.5,4.0,68.5,23.0,0,3
232,2886,7.0,3.0,71.0,22.0,0,3
233,2659,7.0,4.5,72.0,14.0,0,3
234,1548,6.0,2.5,76.0,19.5,0,3
235,947,5.5,1.5,76.0,21.0,0,3
236,660,5.0,1.0,76.0,23.0,0,3
237,501,5.0,2.0,76.0,17.0,0,3
238,340,5.0,1.0,70.0,19.5,0,3
239,168,5.0,0.5,66.0,26.0,0,3
240,79,5.0,0.0,66.0,30.0,0,3
241,60,5.0,0.5,66.0,24.0,0,3
242,54,4.5,0.5,72.5,21.0,0,3
243,44,4.5,1.5,72.5,14.0,0,3
244,93,5.0,1.5,70.0,17.5,0,3
245,560,5.0,1.0,70.0,23.0,0,3
246,1820,4.5,-1.0,68.0,30.5,0,3
247,3904,4.0,-1.0,70.0,26.0,0,3
248,2064,4.5,-0.5,72.0,29.0,0,3
249,841,5.0,0.0,70.0,30.5,0,3
250,732,5.5,1.0,65.5,27.0,0,3
251,1013,6.5,2.5,59.0,27.0,0,3
252,1066,7.0,3.0,57.0,24.0,0,3
253,913,7.0,3.5,55.0,22.0,0,3
254,969,7.0,4.0,55.0,18.0,0,3
255,1365,7.0,4.5,59.0,16.0,0,3
256,2638,7.5,4.5,72.0,16.0,0,3
257,1974,8.0,4.5,71.0,21.5,0,3
258,1254,9.0,5.5,71.0,27.0,0,3
259,885,10.0,6.0,69.0,31.0,0,3
260,537,10.0,6.0,71.0,38.0,0,3
261,344,9.5,5.5,76.5,39.0,0,3
262,188,10.0,6.0,79.0,40.0,0,3
263,91,10.0,6.0,82.0,40.0,0,3
264,66,11.0,11.0,79.5,40.0,0,3
265,25,11.0,11.0,82.0,44.5,0,3
266,23,11.5,11.5,79.5,45.0,0,3
267,23,11.0,11.0,77.0,37.0,0,3
268,62,10.0,6.5,79.0,31.5,0,3
269,481,9.5,5.5,73.5,29.5,0,3
270,1692,9.0,6.0,73.5,23.0,0,3
271,3673,9.0,6.0,66.0,21.0,0,3
272,1941,9.0,6.0,73.5,19.5,0,3
273,844,9.0,6.0,76.0,21.0,0,3
274,729,9.0,6.0,66.0,26.0,0,3
275,835,8.5,5.0,71.0,25.0,0,3
276,1005,9.0,5.0,64.0,32.5,0,3
277,828,9.0,5.0,60.0,30.5,0,3
278,912,9.0,5.0,52.0,36.0,0,3
279,1249,8.0,4.0,53.0,29.0,0,3
280,2524,7.5,3.5,55.0,29.5,0,3
281,2480,7.0,3.0,57.0,29.5,0,3
282,1353,8.0,4.0,51.5,29.5,0,3
283,810,7.0,2.0,51.0,34.0,0,3
284,591,6.5,1.5,57.0,32.0,0,3
285,430,6.5,1.5,59.0,33.0,0,3
286,301,7.0,3.0,57.0,29.5,0,3
287,208,7.0,3.0,53.0,31.0,0,3
288,117,7.0,3.0,53.0,27.5,0,3
289,71,6.5,2.5,59.0,22.0,0,3
290,59,6.5,2.5,59.0,25.0,0,3
291,46,6.5,3.0,55.0,20.5,0,3
292,88,6.5,3.0,55.0,20.5,0,3
293,471,7.0,4.0,55.0,18.5,0,3
294,1648,7.0,4.5,59.0,15.0,0,3
295,3546,7.0,4.5,61.0,15.0,0,3
296,1980,6.0,3.0,71.0,13.0,0,3
297,878,6.5,3.5,68.5,17.0,0,3
298,795,6.0,2.5,72.0,19.5,0,3
299,994,6.0,3.0,73.5,17.0,0,3
300,1122,7.0,4.0,68.5,15.0,0,3
301,941,7.0,4.5,66.0,15.0,0,3
302,1104,7.0,4.0,66.0,15.0,0,3
303,1149,6.0,2.0,68.5,23.5,0,3
304,2348,5.5,2.5,76.0,14.0,0,3
305,2002,5.0,1.5,73.0,16.0,0,3
306,1183,4.0,1.0,72.5,12.0,0,3
307,693,4.0,2.0,72.5,9.0,0,3
308,473,3.0,0.0,75.0,11.0,0,3
309,386,2.5,-1.5,72.5,15.0,0,3
310,361,2.5,-1.0,81.0,12.0,0,3
311,328,2.0,-2.0,81.0,13.0,1,3
312,220,2.0,-1.5,81.0,12.0,1,3
313,199,1.0,-3.0,81.0,14.0,1,3
314,144,1.0,-3.0,81.0,15.0,1,3
315,76,1.0,-2.0,81.0,10.0,1,3
316,68,0.5,-2.5,77.5,8.0,1,3
317,70,0.5,-3.0,77.5,10.0,1,3
318,154,1.5,-2.5,72.5,16.0,1,3
319,350,2.5,-1.5,67.5,15.0,1,3
320,682,3.5,-0.5,65.0,16.0,1,3
321,784,4.0,0.0,70.0,21.0,1,3
322,998,5.0,1.5,73.0,18.5,1,3
323,1360,6.5,3.5,73.5,17.0,1,3
324,1421,6.0,2.5,73.5,20.5,1,3
325,1531,7.0,4.0,66.0,17.0,1,3
326,1527,6.0,3.0,71.0,18.0,1,3
327,1257,6.0,3.0,71.0,15.0,1,3
328,997,5.0,2.5,76.0,10.0,1,3
329,765,5.0,2.0,72.0,13.0,1,3
330,719,5.0,2.0,76.0,12.0,1,3
331,525,5.0,3.0,81.0,9.0,1,3
332,415,5.0,2.5,76.0,10.0,1,3
333,328,5.0,3.0,76.0,7.0,1,3
334,350,5.0,2.5,78.5,9.0,1,3
335,383,5.0,3.0,76.0,7.0,1,3
336,268,5.0,3.5,76.0,6.5,1,3
337,268,5.0,3.0,81.0,8.0,1,3
338,140,4.5,3.0,84.0,6.5,1,3
339,73,4.0,4.0,87.0,0.0,1,3
340,53,4.0,3.5,90.0,5.0,1,3
341,54,4.0,3.5,90.0,5.0,1,3
342,97,4.0,3.5,87.0,5.0,1,3
343,210,4.0,3.5,93.0,5.0,1,3
344,406,4.0,2.5,90.0,6.5,1,3
345,693,4.0,2.0,87.0,9.0,1,3
346,906,4.0,1.5,84.0,9.0,1,3
347,1244,4.0,1.0,81.0,12.0,1,3
348,1401,4.0,1.0,81.0,12.0,1,3
349,1313,4.0,1.0,75.0,14.0,1,3
350,1450,4.0,1.0,75.0,13.0,1,3
351,1111,3.0,2.0,81.0,6.0,1,3
352,844,3.0,3.0,81.0,4.0,1,3
353,694,2.0,0.0,87.0,6.5,1,3
354,510,2.0,-0.5,72.0,8.0,1,3
355,370,1.5,0.5,87.0,5.5,1,3
356,265,1.0,1.0,87.0,4.0,1,3
357,249,1.0,1.0,87.0,4.0,1,3
358,197,0.5,-1.5,90.0,6.0,1,3
359,128,0.0,-3.0,93.0,8.0,0,3
360,57,0.5,-2.5,93.0,8.0,0,3
361,30,1.0,0.0,93.0,5.5,0,3
362,32,0.5,-0.5,93.0,3.5,0,3
363,36,0.5,-1.0,93.0,4.5,0,3
364,88,1.0,-1.0,93.0,6.5,0,3
365,472,1.0,-1.0,90.0,7.0,0,3
366,1695,1.0,-1.0,90.0,6.5,0,3
367,3554,2.0,-0.5,84.0,7.5,0,3
368,1828,2.0,-0.5,87.0,8.0,0,3
369,794,3.0,1.0,75.0,7.5,0,3
370,688,3.5,3.0,72.0,3.0,0,3
371,923,4.0,1.5,70.0,9.0,0,3
372,913,4.0,2.0,70.0,8.0,0,3
373,815,5.0,3.5,66.0,7.5,0,3
374,908,5.0,4.0,63.5,6.0,0,3
375,1257,4.0,2.5,67.5,6.5,0,3
376,2774,3.5,2.5,72.5,6.0,0,3
377,2543,3.5,2.5,72.5,6.0,0,3
378,1442,3.5,1.5,72.5,7.0,0,3
379,893,3.0,1.5,75.0,6.5,0,3
380,561,2.5,1.5,78.0,5.5,0,3
381,356,2.0,1.0,75.0,3.0,0,3
382,247,2.0,2.0,81.0,2.0,0,3
383,85,1.0,0.0,87.0,3.0,0,3
384,49,0.5,-1.0,90.0,6.5,0,3
385,40,0.0,-1.0,93.0,3.0,0,3
386,18,-0.5,-0.5,90.0,4.0,0,3
387,32,-1.0,-2.0,93.0,3.0,0,3
388,80,-0.5,-0.5,93.0,4.0,0,3
389,520,-1.0,-2.0,93.0,5.0,0,3
390,1791,-1.0,-3.5,96.5,6.5,0,3
391,3700,-0.5,-3.5,96.5,7.0,0,3
392,1818,0.0,-3.0,93.0,9.0,0,3
393,806,1.0,0.0,87.0,5.0,0,3
394,636,2.5,1.0,78.0,6.0,0,3
395,894,3.5,1.0,78.0,9.0,0,3
396,966,4.5,2.0,72.5,9.0,0,3
397,806,5.0,2.0,68.0,11.0,0,3
398,897,4.0,1.0,72.0,13.0,0,3
399,1287,4.0,1.0,78.0,13.0,0,3
400,2683,4.0,1.0,78.0,12.0,0,3
401,2624,4.0,1.0,72.0,12.0,0,3
402,1448,4.0,1.0,72.5,13.0,0,3
403,758,4.0,1.0,70.0,14.0,0,3
404,603,4.0,0.5,70.0,16.0,0,3
405,447,4.0,0.5,70.0,17.5,0,3
406,259,4.0,0.0,70.0,18.5,0,3
407,151,3.5,-0.5,72.5,18.0,0,3
408,70,3.0,-1.5,81.0,18.5,0,3
409,56,3.0,-1.0,81.0,19.0,0,3
410,24,3.0,-1.0,81.0,17.0,0,3
411,41,3.0,-1.0,84.0,16.0,0,3
412,81,3.0,-0.5,87.0,14.0,0,3
413,522,3.0,-1.0,87.0,18.0,0,3
414,1656,3.0,-1.0,87.0,18.0,0,3
415,3655,3.0,-1.0,87.0,18.0,0,3
416,1976,3.0,-1.0,87.0,18.0,0,3
417,821,3.0,-1.0,87.0,17.0,0,3
418,666,3.0,-1.0,87.0,16.0,0,3
419,805,3.0,-1.0,87.0,17.0,0,3
420,821,3.5,0.0,72.0,16.0,0,3
421,701,3.0,-1.0,72.0,17.0,0,3
422,759,3.0,-1.0,87.0,18.0,0,3
423,1217,3.0,-1.0,87.0,16.0,0,3
424,2503,3.0,-0.5,84.0,14.0,0,3
425,2511,3.0,0.0,87.0,11.0,0,3
426,1359,3.0,0.0,87.0,13.0,0,3
427,890,3.0,0.5,81.0,9.0,0,3
428,666,3.0,2.0,81.0,6.0,0,3
429,480,3.0,2.0,81.0,6.0,0,3
430,351,3.0,2.5,72.0,3.0,0,3
431,138,2.5,2.5,84.0,2.0,0,3
432,81,2.0,2.0,87.0,2.0,0,3
433,54,2.0,2.0,87.0,2.0,0,3
434,37,2.0,1.0,87.0,5.5,0,3
435,39,2.0,1.0,87.0,5.0,0,3
436,89,2.0,1.0,87.0,5.0,0,3
437,512,2.0,2.0,84.0,2.0,0,3
438,1677,2.0,2.0,81.0,2.0,0,3
439,3828,2.0,1.0,81.0,5.0,0,3
440,1911,2.5,2.5,78.0,2.0,0,3
441,789,4.0,1.5,70.0,9.0,0,3
442,713,4.0,1.5,72.0,10.0,0,3
443,914,5.0,2.0,59.0,13.0,0,3
444,935,5.0,2.0,57.0,13.0,0,3
445,867,4.5,1.5,59.0,14.0,0,3
446,885,4.0,1.0,61.0,13.0,0,3
447,1328,4.0,1.0,63.0,12.0,0,3
448,2457,3.5,0.5,72.0,12.0,0,3
449,2422,3.0,0.0,65.0,9.0,0,3
450,1350,2.0,0.0,70.0,6.5,0,3
451,850,2.0,0.0,70.0,6.5,0,3
452,640,0.0,-2.0,80.0,6.0,0,3
453,438,0.0,0.0,80.0,2.0,0,3
454,324,0.0,-1.0,80.0,3.0,0,3
455,171,-0.5,-2.0,86.5,5.5,0,3
456,96,-1.0,-3.0,86.0,6.0,0,3
457,58,-1.0,-3.0,86.0,6.0,0,3
458,41,-0.5,-1.5,83.0,5.0,0,3
459,31,-1.0,-2.0,86.0,5.0,0,3
460,80,-1.0,-3.0,86.0,6.0,0,3
461,426,-1.5,-2.5,89.5,5.0,0,3
462,1494,-1.0,-3.5,86.0,6.5,0,3
463,3328,-0.5,-3.5,83.0,7.0,0,3
464,1839,0.5,-2.0,84.0,6.5,0,3
465,894,2.0,-0.5,72.0,7.5,0,3
466,794,3.5,0.5,67.5,12.0,0,3
467,1084,4.5,1.0,65.5,16.5,0,3
468,1053,5.0,1.5,66.0,17.5,0,3
469,1005,5.0,1.0,66.0,19.5,0,3
470,1002,5.0,2.0,66.0,17.0,0,3
471,1421,4.0,1.0,75.0,12.0,0,3
472,2388,4.0,1.0,75.0,14.0,0,3
473,1946,4.5,1.5,78.5,14.0,0,3
474,1126,6.0,2.5,76.0,18.5,0,3
475,687,6.5,2.5,78.5,24.0,0,3
476,421,7.0,4.0,87.0,20.0,0,3
477,208,7.5,3.5,87.0,23.0,0,3
478,299,8.0,4.0,87.0,24.0,0,3
479,186,8.0,4.5,93.0,22.5,1,3
480,141,9.0,6.0,90.5,18.0,1,3
481,142,7.0,4.0,87.0,18.5,1,3
482,121,6.5,3.5,81.0,18.0,1,3
483,70,6.0,2.5,76.0,18.5,1,3
484,61,5.5,1.5,73.5,24.0,1,3
485,76,5.0,1.0,76.0,19.0,1,3
486,142,4.0,1.0,81.0,14.0,1,3
487,318,4.5,1.0,75.5,16.0,1,3
488,723,5.0,1.5,70.0,18.0,1,3
489,1086,5.5,1.5,68.0,24.0,1,3
490,1411,6.0,2.0,66.0,24.0,1,3
491,1636,6.0,2.0,72.0,24.0,1,3
492,1769,7.0,3.5,72.0,22.0,1,3
493,1796,7.0,4.0,61.0,20.0,1,3
494,1798,7.0,3.0,61.0,22.0,1,3
495,1597,6.5,3.5,63.5,17.0,1,3
496,1226,6.0,3.0,66.0,15.0,1,3
497,837,5.5,2.5,68.0,13.0,1,3
498,709,5.0,2.0,68.0,14.0,1,3
499,526,4.5,1.5,70.0,13.0,1,3
500,393,4.0,1.0,72.5,13.0,1,3
501,401,3.5,0.5,72.0,13.0,1,3
502,374,3.0,-0.5,81.0,13.0,1,3
503,347,3.0,0.0,81.0,13.0,1,3
504,261,2.0,-1.5,87.0,12.0,1,3
505,216,2.0,-1.0,72.0,10.0,1,3
506,162,2.0,-2.0,87.0,14.0,1,3
507,107,2.0,-2.0,84.0,13.0,1,3
508,70,2.0,-1.5,87.0,12.0,1,3
509,83,2.0,-2.0,87.0,13.0,1,3
510,108,2.0,-2.0,87.0,15.0,1,3
511,226,3.0,-0.5,81.0,15.0,1,3
512,529,3.5,0.5,78.0,13.0,1,3
513,857,5.0,2.0,70.0,15.0,1,3
514,1195,6.5,4.0,68.5,13.0,1,3
515,1478,8.5,5.5,62.0,19.5,1,3
516,1705,8.0,5.0,66.0,18.0,1,3
517,1519,9.0,6.0,66.0,22.0,1,3
518,1477,8.0,5.0,71.0,21.0,1,3
519,1238,8.0,5.0,71.0,18.0,1,3
520,875,8.0,5.0,71.0,19.5,1,3
521,810,8.0,5.0,73.5,19.5,1,3
522,566,8.0,5.0,76.0,19.5,1,3
523,423,8.0,5.0,76.0,18.5,1,3
524,335,8.0,5.0,82.0,18.5,1,3
525,297,8.0,5.0,82.0,18.0,1,3
526,210,8.0,5.0,82.0,18.0,1,3
527,115,8.0,5.0,87.0,19.0,0,3
528,74,8.5,5.5,87.0,18.0,0,3
529,34,9.0,6.0,87.0,21.5,0,3
530,33,9.0,6.0,72.0,19.5,0,3
531,47,9.0,6.5,72.0,16.0,0,3
532,88,9.5,7.0,72.0,17.0,0,3
533,472,10.0,7.5,82.0,18.5,0,3
534,1619,10.0,7.5,88.0,18.5,0,3
535,3589,10.0,8.0,85.0,18.0,0,3
536,1844,10.5,9.0,85.0,19.5,0,3
537,603,10.0,7.5,85.0,16.5,0,3
538,621,10.0,7.0,71.5,23.0,0,3
539,841,10.0,7.0,62.5,24.0,0,3
540,884,9.0,6.0,64.0,19.5,0,3
541,796,9.0,6.0,72.0,22.0,0,3
542,904,8.0,4.5,62.0,23.0,0,3
543,1319,8.0,4.5,62.0,21.5,0,3
544,2723,8.0,5.0,62.0,19.0,0,3
545,2509,7.5,4.5,64.0,18.0,0,3
546,1457,7.0,4.0,66.0,20.0,0,3
547,941,7.0,4.0,66.0,17.0,0,3
548,550,6.5,3.5,68.5,17.0,0,3
549,433,6.0,3.0,76.0,14.0,0,3
550,214,6.0,3.0,76.0,15.0,0,3
551,133,5.5,2.5,76.0,14.0,0,3
552,69,5.0,2.0,78.5,15.0,0,3
553,30,5.0,2.0,76.0,14.0,0,3
554,33,5.0,2.0,76.0,12.0,0,3
555,43,5.0,2.0,76.0,12.0,0,3
556,88,5.5,2.5,78.5,13.0,0,3
557,571,6.0,3.5,76.0,12.0,0,3
558,1913,6.0,3.0,76.0,15.0,0,3
559,3835,5.5,2.5,78.5,15.0,0,3
560,1900,6.5,3.5,73.5,15.0,0,3
561,874,7.0,4.0,73.5,18.0,0,3
562,763,8.0,5.0,72.0,19.0,0,3
563,999,9.0,6.0,66.0,17.0,0,3
564,977,9.0,6.0,66.0,19.5,0,3
565,866,9.0,6.0,68.5,19.0,0,3
566,976,8.0,5.5,71.0,16.0,0,3
567,1346,8.0,6.0,71.0,11.0,0,3
568,2724,8.0,7.0,71.0,7.0,0,3
569,2750,8.0,6.0,71.0,11.0,0,3
